id,named,lat,lng,own,dated
,각화동001,35.178908,126.932777,광주광역시 북구청,2020-06-30
,각화동002,35.178838,126.933053,광주광역시 북구청,2020-06-30
,각화동003,35.178777,126.9332456,광주광역시 북구청,2020-06-30
,각화동004,35.178672,126.933648,광주광역시 북구청,2020-06-30
,각화동005,35.178489,126.934331,광주광역시 북구청,2020-06-30
,각화동006,35.1785682,126.9340523,광주광역시 북구청,2020-06-30
,각화동007,35.178712,126.934054,광주광역시 북구청,2020-06-30
,각화동008,35.1793479,126.9330311,광주광역시 북구청,2020-06-30
,각화동009,35.1792503,126.933381,광주광역시 북구청,2020-06-30
,각화동010,35.1791688,126.9336748,광주광역시 북구청,2020-06-30
,각화동011,35.1791085,126.9338894,광주광역시 북구청,2020-06-30
,각화동012,35.179064,126.934148,광주광역시 북구청,2020-06-30
,각화동013,35.1791909,126.9345565,광주광역시 북구청,2020-06-30
,각화동014,35.1790777,126.9350372,광주광역시 북구청,2020-06-30
,각화동015,35.178243,126.935037,광주광역시 북구청,2020-06-30
,각화동016,35.178166,126.935466,광주광역시 북구청,2020-06-30
,각화동017,35.178465,126.935638,광주광역시 북구청,2020-06-30
,각화동018,35.178566,126.935955,광주광역시 북구청,2020-06-30
,각화동019,35.178765,126.935974,광주광역시 북구청,2020-06-30
,각화동020,35.178939,126.936345,광주광역시 북구청,2020-06-30
,각화동021,35.178661,126.936436,광주광역시 북구청,2020-06-30
,각화동022,35.178582,126.936668,광주광역시 북구청,2020-06-30
,각화동023,35.178441,126.937087,광주광역시 북구청,2020-06-30
,각화동024,35.178318,126.9373093,광주광역시 북구청,2020-06-30
,각화동025,35.178267,126.936793,광주광역시 북구청,2020-06-30
,각화동026,35.1783429,126.9364971,광주광역시 북구청,2020-06-30
,각화동027,35.178505,126.936175,광주광역시 북구청,2020-06-30
,각화동028,35.178305,126.935903,광주광역시 북구청,2020-06-30
,각화동029,35.178062,126.936444,광주광역시 북구청,2020-06-30
,각화동030,35.177997,126.9369927,광주광역시 북구청,2020-06-30
,각화동031,35.1777692,126.936646,광주광역시 북구청,2020-06-30
,각화동032,35.177831,126.936425,광주광역시 북구청,2020-06-30
,각화동033,35.177937,126.936117,광주광역시 북구청,2020-06-30
,각화동034,35.178051,126.935819,광주광역시 북구청,2020-06-30
,각화동035,35.177881,126.935953,광주광역시 북구청,2020-06-30
,각화동036,35.177688,126.936504,광주광역시 북구청,2020-06-30
,각화동037,35.177831,126.937359,광주광역시 북구청,2020-06-30
,각화동038,35.178058,126.937553,광주광역시 북구청,2020-06-30
,각화동040,35.178341,126.9387085,광주광역시 북구청,2020-06-30
,각화동041,35.178682,126.939895,광주광역시 북구청,2020-06-30
,각화동054,35.181473,126.939529,광주광역시 북구청,2020-06-30
,각화동055,35.181723,126.939251,광주광역시 북구청,2020-06-30
,각화동066,35.178562,126.941587,광주광역시 북구청,2020-06-30
,각화동067,35.178835,126.941968,광주광역시 북구청,2020-06-30
,각화동068,35.179042,126.942975,광주광역시 북구청,2020-06-30
,각화동069,35.179361,126.944321,광주광역시 북구청,2020-06-30
,각화동070,35.179438,126.944957,광주광역시 북구청,2020-06-30
,각화동071,35.179524,126.945428,광주광역시 북구청,2020-06-30
,각화동074,35.182378,126.932721,광주광역시 북구청,2020-06-30
,각화동080,35.181552,126.938287,광주광역시 북구청,2020-06-30
,각화동081,35.181623,126.938067,광주광역시 북구청,2020-06-30
,각화동082,35.1843972,126.9378176,광주광역시 북구청,2020-06-30
,각화동083,35.184468,126.9375371,광주광역시 북구청,2020-06-30
,각화동084,35.184517,126.937195,광주광역시 북구청,2020-06-30
,각화동085,35.184667,126.936798,광주광역시 북구청,2020-06-30
,각화동087,35.184421,126.936428,광주광역시 북구청,2020-06-30
,각화동088,35.184806,126.936159,광주광역시 북구청,2020-06-30
,각화동089,35.184865,126.935752,광주광역시 북구청,2020-06-30
,각화동090,35.184962,126.935465,광주광역시 북구청,2020-06-30
,각화동091,35.1851928,126.9348905,광주광역시 북구청,2020-06-30
,각화동092,35.185136,126.934694,광주광역시 북구청,2020-06-30
,각화동093,35.185213,126.934309,광주광역시 북구청,2020-06-30
,각화동094,35.1851928,126.933968,광주광역시 북구청,2020-06-30
,각화동095,35.185388,126.933626,광주광역시 북구청,2020-06-30
,각화동096,35.185456,126.933252,광주광역시 북구청,2020-06-30
,각화동097,35.181411,126.935512,광주광역시 북구청,2020-06-30
,각화동098,35.182143,126.9324397,광주광역시 북구청,2020-06-30
,각화동099,35.181872,126.932574,광주광역시 북구청,2020-06-30
,각화동100,35.182248,126.932251,광주광역시 북구청,2020-06-30
,각화동101,35.182595,126.932806,광주광역시 북구청,2020-06-30
,각화동102,35.182794,126.932848,광주광역시 북구청,2020-06-30
,각화동103,35.183077,126.932229,광주광역시 북구청,2020-06-30
,각화동104,35.182923,126.932154,광주광역시 북구청,2020-06-30
,각화동105,35.181767,126.929897,광주광역시 북구청,2020-06-30
,각화동106,35.181945,126.929653,광주광역시 북구청,2020-06-30
,각화동107,35.182274,126.929143,광주광역시 북구청,2020-06-30
,각화동108,35.182542,126.9296426,광주광역시 북구청,2020-06-30
,각화동109,35.1827123,126.9294163,광주광역시 북구청,2020-06-30
,각화동110,35.179346,126.944684,광주광역시 북구청,2020-06-30
,각화동111,35.179676,126.946326,광주광역시 북구청,2020-06-30
,각화동112,35.182126,126.928684,광주광역시 북구청,2020-06-30
,각화동113,35.181956,126.928851,광주광역시 북구청,2020-06-30
,각화동114,35.181933,126.929236,광주광역시 북구청,2020-06-30
,각화동115,35.181608,126.929273,광주광역시 북구청,2020-06-30
,각화동116,35.181265,126.931177,광주광역시 북구청,2020-06-30
,각화동117,35.1809035,126.931051,광주광역시 북구청,2020-06-30
,각화동118,35.180642,126.931053,광주광역시 북구청,2020-06-30
,각화동119,35.180097,126.9317841,광주광역시 북구청,2020-06-30
,각화동120,35.180158,126.931444,광주광역시 북구청,2020-06-30
,각화동121,35.180277,126.931596,광주광역시 북구청,2020-06-30
,각화동122,35.180279,126.931815,광주광역시 북구청,2020-06-30
,각화동123,35.180638,126.931646,광주광역시 북구청,2020-06-30
,각화동124,35.180479,126.932043,광주광역시 북구청,2020-06-30
,각화동125(스마트),35.180675,126.931766,광주광역시 북구청,2020-06-30
,각화동126,35.180829,126.931841,광주광역시 북구청,2020-06-30
,각화동127,35.1810852,126.9318142,광주광역시 북구청,2020-06-30
,각화동128,35.1809589,126.9323774,광주광역시 북구청,2020-06-30
,각화동129,35.181013,126.933354,광주광역시 북구청,2020-06-30
,각화동130,35.180651,126.933183,광주광역시 북구청,2020-06-30
,각화동131,35.180308,126.933045,광주광역시 북구청,2020-06-30
,각화동132,35.180304,126.932638,광주광역시 북구청,2020-06-30
,각화동133,35.180233,126.932793,광주광역시 북구청,2020-06-30
,각화동134(스마트),35.179901,126.932973,광주광역시 북구청,2020-06-30
,각화동135,35.180058,126.933388,광주광역시 북구청,2020-06-30
,각화동136,35.179175,126.9376161,광주광역시 북구청,2020-06-30
,각화동137,35.179517,126.937468,광주광역시 북구청,2020-06-30
,각화동138,35.179805,126.937399,광주광역시 북구청,2020-06-30
,각화동139,35.1822679,126.9385165,광주광역시 북구청,2020-06-30
,각화동140,35.182464,126.939461,광주광역시 북구청,2020-06-30
,각화동141,35.1832309,126.9323122,광주광역시 북구청,2020-06-30
,각화동142,35.1821834,126.9300822,광주광역시 북구청,2020-06-30
,각화동143,35.1823416,126.9382656,광주광역시 북구청,2020-06-30
,금곡동001,35.170587,126.998192,광주광역시 북구청,2020-06-30
,금곡동002,35.170238,126.998459,광주광역시 북구청,2020-06-30
,금곡동003,35.169836,126.998936,광주광역시 북구청,2020-06-30
,금곡동004,35.170035,126.9987209,광주광역시 북구청,2020-06-30
,금곡동005,35.170883,126.999066,광주광역시 북구청,2020-06-30
,금곡동006,35.1710749,126.998746,광주광역시 북구청,2020-06-30
,금곡동007,35.170359,126.998908,광주광역시 북구청,2020-06-30
,금곡동008,35.170537,126.998697,광주광역시 북구청,2020-06-30
,금곡동009,35.170227,126.999272,광주광역시 북구청,2020-06-30
,금곡동010,35.170498,126.999367,광주광역시 북구청,2020-06-30
,금곡동011,35.170707,126.999595,광주광역시 북구청,2020-06-30
,금곡동012,35.170067,126.9995974,광주광역시 북구청,2020-06-30
,금곡동013,35.170194,126.999733,광주광역시 북구청,2020-06-30
,금곡동014,35.170561,127.0003097,광주광역시 북구청,2020-06-30
,금곡동015,35.1706804,127.000309,광주광역시 북구청,2020-06-30
,금곡동016,35.171117,127.000084,광주광역시 북구청,2020-06-30
,금곡동017,35.170807,127.000824,광주광역시 북구청,2020-06-30
,금곡동018,35.171021,127.001557,광주광역시 북구청,2020-06-30
,금곡동019,35.170919,127.001261,광주광역시 북구청,2020-06-30
,금곡동020,35.170718,127.000891,광주광역시 북구청,2020-06-30
,금곡동021,35.170317,127.000434,광주광역시 북구청,2020-06-30
,금곡동022,35.169801,127.000133,광주광역시 북구청,2020-06-30
,금곡동024,35.1703721,126.999269,광주광역시 북구청,2020-06-30
,금곡동025,35.169705,126.998312,광주광역시 북구청,2020-06-30
,금곡동026,35.170308,126.998184,광주광역시 북구청,2020-06-30
,금곡동027,35.169502,126.996624,광주광역시 북구청,2020-06-30
,금곡동028,35.169439,126.997811,광주광역시 북구청,2020-06-30
,금곡동029,35.169657,126.998017,광주광역시 북구청,2020-06-30
,금곡동030,35.169916,126.997651,광주광역시 북구청,2020-06-30
,금곡동031,35.169959,126.997453,광주광역시 북구청,2020-06-30
,금곡동032,35.163764,126.983018,광주광역시 북구청,2020-06-30
,금곡동033,35.163937,126.983323,광주광역시 북구청,2020-06-30
,금곡동034,35.164324,126.983252,광주광역시 북구청,2020-06-30
,금곡동035,35.165134,126.9830954,광주광역시 북구청,2020-06-30
,금곡동036,35.165566,126.982962,광주광역시 북구청,2020-06-30
,금곡동037,35.163437,126.982703,광주광역시 북구청,2020-06-30
,금곡동038,35.163118,126.982334,광주광역시 북구청,2020-06-30
,금곡동039,35.1640138,126.981985,광주광역시 북구청,2020-06-30
,금곡동040,35.165115,126.979973,광주광역시 북구청,2020-06-30
,금곡동041,35.165304,126.979629,광주광역시 북구청,2020-06-30
,금곡동042,35.166834,126.978358,광주광역시 북구청,2020-06-30
,금곡동043,35.164672,126.979582,광주광역시 북구청,2020-06-30
,금곡동044,35.164824,126.979393,광주광역시 북구청,2020-06-30
